 Name, Empresa, idRaw, idFiltered, BatchDate, Breed,
 'Sensor1', 'Pollos Gar', '584302380c51e0353c9d8e9c', '585065e70c51e012fecd122d', '2017-01-19', '1',
 'Sensor2', 'Pollos Gar', '584493520c51e008d3e88909', '58471e7e0c51e0795a8597f6', '2017-01-19', '1',
 'Sensor3', '??', '58655a5d0c51e010f41c2686', '586563fc0c51e01431d8ed2a', '2016-12-13', '1',
 'Sensor4', '??', '584eea150c51e06e1d271ebd', '586563d60c51e01482a07560', '2016-12-13', '1',
 'Sensor5', 'Huevos Delicia', '586bac6e0c51e004eeabafa7', '586bacf20c51e004eeabafc0', '2017-01-01', '1',changed its breed type to 2
 'Sensor6', 'Avidesa-Yucatan', '588f74b90c51e03d2e7fb7c0', '58d32ebe0c51e00bae9b7c81', '2017-05-26', '1',
 'Sensor7', 'Avidesa-Yucatan', '588f74ad0c51e03ce5a8b835', '58d32ee20c51e00cfeee5e39', '2017-05-26', '1',
 'Sensor8', 'Avidesa-Yucatan', '588f74ad0c51e03ce5a8b837', '58d32efd0c51e00cb981e589', '2017-05-26', '1',
 'Sensor9', 'Avidesa-Yucatan', '588f74ad0c51e03ce5a8b836', '58d32f190c51e00bae9b7c95', '2017-05-26', '1',
 'Sensor10', 'Avidesa-Yucatan', '5890aaa10c51e072b6c4fb8b', '58d32f340c51e00de1a6815f', '2017-05-26', '1',
 'Sensor11', 'Avidesa-Yucatan', '588f74ba0c51e03d2e7fb7c1', '58d32f640c51e00de1a68160', '2017-05-26', '1',
 'Sensor12', 'Avidesa-Yucatan', '588f82a10c51e0512ee52989', '58d32f870c51e00cb981e59c', '2017-05-26', '1',
 'Sensor13', 'Avidesa-Yucatan', '587e32240c51e02cb887c1fc', '58d32fe80c51e00c40aad319', '2017-05-26', '1',
 'Sensor14', 'Contegral-Nirvana G02', '58c43db30c51e02c0a59bad1', '58cc0ed00c51e03961f48ec1', '2017-05-09', '1',
 'Sensor15', 'Contegral-Nirvana G02', '58c43dfe0c51e02d74349b7f', '58cc0eca0c51e03a2781c77d', '2017-05-09', '1',
 'Sensor16', 'Contegral-Nirvana G02', '58c1cc7e0c51e056280a97e9', '58cc0dd00c51e03828dfaf37', '2017-05-09', '1',
 'Sensor17', 'Contegral-Nirvana G02', '58c1cc7e0c51e056280a97e8', '58cc0ee80c51e03a078640bb', '2017-05-09', '1',
 'Sensor18', 'Contegral-Nirvana G02', '58c1cc890c51e0568a0bd03c', '58cc0ef60c51e03961f48ec2', '2017-05-09', '1',
 'Sensor19', 'Contegral-Nirvana G02', '587f6d220c51e03a0d8c0e14', '58cc0efd0c51e03a078640c2', '2017-05-09', '1',
 'Sensor20', 'Contegral-Nirvana G02', '587f9ec80c51e05dead5b058', '58cc0eef0c51e03a2781c77e', '2017-05-09', '1',
 'Sensor21', 'Contegral-Nirvana G02', '58c43cae0c51e02ca5eff77f', '58cc0ee20c51e039b7e15bc3', '2017-05-09', '1',
 'Sensor22', 'Contegral-Nirvana G02', '58c1cc7e0c51e056280a97e7', '58cc0f040c51e039b7e15bc6', '2017-05-09', '1',
 'Sensor23', 'Contegral-Nirvana G02', '58c1d1620c51e05dfd9d253f', '58cc0f340c51e039dff87258', '2017-05-09', '1',
 'Sensor24', 'Contegral-Nirvana G02', '58c1cefd0c51e059a5a95bc3', '58cc0e100c51e03828dfaf39', '2017-05-09', '1',
 'Sensor25', 'Contegral-Nirvana G02', '58c1cefd0c51e059a5a95bc4', '58cc0dd70c51e0376090ff84', '2017-05-09', '1',
 'Sensor26', 'Contegral-Nirvana G02', '58c1cef30c51e059a5a95bb4', '58cc0ebb0c51e039b7e15bc1', '2017-05-09', '1',
 'Sensor27', 'Contegral-Nirvana G02', '58c1cc7e0c51e056280a97e6', '58cc0f150c51e03a2781c77f', '2017-05-09', '1',
 'Sensor28', 'Orlando Castellano', '58cc1cf20c51e052d5b305eb', '58dc063b0c51e0304686a758', '2017-03-17', '1',
 'Sensor29', 'Miluc-Santa Rita G02', '58cc5e0f0c51e0055cc8775e', '58dc10b00c51e03578abbd29', '2017-03-06', '1',
 'Sensor30', 'Contegral-Nirvana G02', '58dd71390c51e00736b85dfe', '58e69b7f0c51e047396fd200', '2017-05-09', '1',
 'Sensor31', 'Contegral-Nirvana G02', '58dc23580c51e049115f373a', '58e6976a0c51e042e390ba5f', '2017-05-09', '1',
 'Sensor32', 'Contegral-Nirvana G02', '58dc234c0c51e0493e53fcca', '58e697f30c51e0434878779c', '2017-05-09', '1',
 'Sensor33', 'Contegral-Nirvana G02', '58dd71910c51e007871fa72a', '58e7b2f00c51e02a4c1b4063', '2017-05-09', '1',
 'Sensor34', 'Espartaco-G05', '58ee95c20c51e04a3ff7c01a', '58f8de910c51e05f91b81ec2', '2017-04-22', '3',
 'Sensor35', 'Espartaco-G05', '58ee95c20c51e04a3ff7c01b', '58f8dec00c51e05fcc6e0237', '2017-04-22', '3',
 'Sensor36', 'Espartaco-G05', '58ee95d00c51e04c655719c6', '58f8df1c0c51e060c499987c', '2017-04-22', '3',
 'Sensor37', 'Espartaco-G05', '58ee95c20c51e04a3ff7c019', '58f8df330c51e060c49998b9', '2017-04-22', '3',
 'Galpon 02-C02', 'Acondesa-Americas', '590a85d50c51e0567628f6e1', '5914beb40c51e017a02b857a', '2017-05-01', '1',
 'Galpon 02-C03', 'Acondesa-Americas', '590a8d1a0c51e05c821c8c52', '5914bebe0c51e017ddcb171f', '2017-05-01', '1',
 'Galpon 02-C04-01', 'Acondesa-Americas', '590a8d1a0c51e05c821c8c53', '5914bec80c51e01814718dcd', '2017-05-01', '1',
 'Galpon 02-C04-02', 'Acondesa-Americas', '590a83630c51e054fc23e22e', '5914bed10c51e01857329fd7', '2017-05-01', '1',
 'Galpon 03-C02', 'Acondesa-Americas', '590cac850c51e00eb4e184d0', '5914c9a50c51e02bfae8568f', '2017-05-01', '1',
 'Galpon 03-C03-1', 'Acondesa-Americas', '590cac850c51e00eb4e184d1', '5914c9d10c51e02c26509f54', '2017-05-01', '1',
 'Galpon 03-C03-2', 'Acondesa-Americas', '590cac780c51e00e71f4735e', '5914c9e60c51e02c26509f55', '2017-05-01', '1',
 'Galpon 03-C04', 'Acondesa-Americas', '590cac770c51e00e71f4735d', '5914c9f60c51e02c838e0a46', '2017-05-01', '1',
 'Galpon 08-C02', 'IncuSan', '5914a3ce0c51e0720b943bdb', '591b3a280c51e03514a5b4ed', '2017-05-03', '1',
 'C02-G08', 'Incusan-San Diego', '5914a3ce0c51e0720b943bdb', '59289b810c51e03bca479773', '2017-05-03', '2',